name,parkcode,url
277 North Campground,amis,https://www.nps.gov/amis/planyourvisit/277-north-campground.htm
Abrams Creek Campground,grsm,https://www.nps.gov/grsm/planyourvisit/abrams-creek-campground.htm
Adirondack Shelters,cato,https://www.recreation.gov/camping/campgrounds/233321?q=Adirondack%20Shelters
Afterbay Campground,bica,https://www.nps.gov/bica/planyourvisit/afterbay-campground.htm
Akers Group Campground,ozar,https://www.nps.gov/ozar/planyourvisit/akers-campground.htm
Alamo Canyon Campground,orpi,https://www.nps.gov/orpi/planyourvisit/alamo-canyon.htm
Alley Spring Campground,ozar,https://www.nps.gov/ozar/planyourvisit/alley-spring-campground.htm
Alum Ford Campground,biso,https://www.nps.gov/biso/planyourvisit/alumfordcampground.htm
American Memorial Park,amme,
Anacapa Island Campground,chis,https://www.recreation.gov/camping/anacapa-island/r/campgroundDetails.do?contractCode=NRSO&parkId=70984
Antelope Point RV Park,glca,https://antelopepointlakepowell.com/explore-lake-powell/rv-park/
Antietam Creek Campground,choh,https://www.recreation.gov/camping/campgrounds/252970?tab=info
Apgar Campground,glac,
Army Camp,neri,
Aspenglen Campground,romo,https://www.nps.gov/romo/planyourvisit/agcg.htm
Atwell Mill Campground,seki,https://www.nps.gov/seki/planyourvisit/atwell.htm
Au Sable East Group Backpacking Site,piro,
Au Sable East Individual Backpacking Sites,piro,https://www.nps.gov/piro/planyourvisit/backcountry.htm
Avalanche Campground,glac,https://www.nps.gov/glac/planyourvisit/reservation-campgrounds.htm
Azalea Campground,seki,https://www.nps.gov/seki/planyourvisit/azalea.htm
Bachers Campground,ozar,https://www.nps.gov/ozar/planyourvisit/bachers-campground.htm
Back Country Camping - Green Run,asis,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
Back Country Camping - Little Levels,asis,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
Back Country Camping - Pine Tree,asis,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
Back Country Camping - Pope Bay,asis,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
Back Country Camping - State Line,asis,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
Back Country Camping - Tingles Island,asis,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
Backcountry Camping,whsa,https://www.nps.gov/whsa/planyourvisit/backpackingpr.htm
Backcountry Camping,care,
Backcountry Camping in Lassen's Wilderness,lavo,https://www.nps.gov/lavo/planyourvisit/wilderness-permit-information.htm
Backcountry Camping in the Otis Pike High Dune Wilderness,fiis,https://www.nps.gov/fiis/planyourvisit/backcountry-camping.htm
Backpacking Campsites in the Dunes or Forest,grsa,https://www.nps.gov/grsa/planyourvisit/backpacking.htm
Baker Creek Campground,grba,https://www.nps.gov/grba/planyourvisit/campgrounds.htm
Bald Eagle Island Hiker-Biker Campsite,choh,https://www.nps.gov/choh/planyourvisit/camping.htm
Balsam Mountain Campground,grsm,https://www.nps.gov/grsm/planyourvisit/balsam-mountain.htm
Bandy Creek Campground,biso,https://www.nps.gov/biso/planyourvisit/bandycreekcampground.htm
Barry's Landing & Trail Creek Campground,bica,https://www.nps.gov/bica/planyourvisit/trail-creek-campground.htm
Bartlett Cove Campground,glba,
Bay Campground - South Manitou Island,slbe,https://www.nps.gov/slbe/planyourvisit/smicamping.htm
Bay Creek Campground,ozar,https://www.nps.gov/ozar/planyourvisit/bay-creek-campground.htm
Bayside Drive-in Campground,asis,https://www.nps.gov/asis/planyourvisit/bayside-drive-in-campground-reservation.htm
Bear Creek Campground,biso,https://www.nps.gov/biso/planyourvisit/horsecamps.htm
Bear Island Campground,bicy,
Beaver Creek Individual Backpacking Sites,piro,
Beaver Island Campground,isro,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
Beehives Campground,glca,https://www.nps.gov/glca/planyourvisit/camping.htm
Belle Campground,jotr,https://www.nps.gov/jotr/planyourvisit/belle-campground.htm
Belle Fourche River Campground,deto,https://www.nps.gov/deto/planyourvisit/campgrounds.htm
Belle Isle Campground,isro,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
Benchmark Individual Backpacking Sites,piro,https://www.nps.gov/piro/planyourvisit/backcountry.htm
Bicentennial Campground,goga,https://www.recreation.gov/camping/campgrounds/272229
Big Creek Campground,grsm,https://www.nps.gov/grsm/planyourvisit/camping-at-big-creek.htm
Big Meadows Campground,shen,https://www.nps.gov/shen/planyourvisit/big-meadows-campground.htm
Big Seboeis Campsite,kaww,
Big Spring Brook Campsite,kaww,
Big Spring Brook Hut,kaww,
Big Spring Campground,ozar,https://www.nps.gov/ozar/planyourvisit/big-spring-campground-map11.htm
Big Tree Campground,ozar,https://www.nps.gov/ozar/planyourvisit/big-tree-campground.htm
Big Woods Hiker-Biker Campsite,choh,https://www.nps.gov/choh/planyourvisit/camping.htm
Birch Island Campground,isro,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
Bird Island Basin Campground,pais,https://www.nps.gov/pais/planyourvisit/bird-island-basin-campground.htm
Black Canyon Campground,bica,https://www.nps.gov/bica/planyourvisit/black-canyon.htm
Black Canyon Group and Equestrian Campground,moja,https://www.nps.gov/moja/planyourvisit/black-canyon-group-and-equestrian-campground.htm
Black Rock Campground,jotr,https://www.nps.gov/jotr/planyourvisit/black-rock-campground.htm
Blackwoods Campground,acad,https://www.nps.gov/acad/planyourvisit/blackwoods-campground.htm
Blue Creek,lamr,https://www.nps.gov/lamr/planyourvisit/camping.htm
Blue Heron Campground,biso,https://www.nps.gov/biso/planyourvisit/blueheroncampground.htm
Blue Ridge Wilderness Campground,gumo,https://www.nps.gov/gumo/planyourvisit/br_wcg.htm
Blue Spring Campground,ozar,https://www.nps.gov/ozar/planyourvisit/blue-spring-campground.htm
Blue West Campground,lamr,https://www.nps.gov/lamr/planyourvisit/camping.htm
Bluff Campground,cong,https://www.recreation.gov/camping/campgrounds/10191039
Boca Chita Campground,bisc,https://www.nps.gov/bisc/planyourvisit/bocachita.htm
Bonita Canyon Campground,chir,https://www.recreation.gov/camping/campgrounds/250901
Boulder Beach Campground (Lake Mead),lake,https://www.recreation.gov/camping/campgrounds/10075120
Boulder Beach Group Campground (Lake Mead),lake,https://www.recreation.gov/camping/campgrounds/10048964
Bow Creek Primitive Camping,mnrr,https://www.nps.gov/mnrr/planyourvisit/campgrounds.htm
Bowman Lake,glac,
Brandy Creek,whis,https://www.recreation.gov/camping/brandy-creek-primitive-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=156940
Brandy Creek RV,whis,https://www.nps.gov/whis/planyourvisit/brandy-creek-rv.htm
Brickhill Bluff Wilderness Campsite,cuis,https://www.nps.gov/cuis/planyourvisit/brickhillbluff.htm
Bridalveil Creek Campground,yose,https://www.nps.gov/yose/planyourvisit/bvcamp.htm
Bridge Bay Campground,yell,https://www.nps.gov/yell/planyourvisit/bridgebaycg.htm
Broadfoot Campground,ozar,https://www.nps.gov/ozar/planyourvisit/broadfoot-campground.htm
Brooklyn Campground,neri,
Brooks Camp Campground,katm,https://www.nps.gov/katm/planyourvisit/plyovicamp.htm
Buckeye Flat Campground,seki,https://www.nps.gov/seki/planyourvisit/buckeye.htm
Buckhorn Campground Loop A,chic,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
Buckhorn Campground Loop B,chic,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
Buckhorn Campground Loop C,chic,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
Buckhorn Campground Loop D,chic,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
Buffalo Point Campground,buff,https://www.nps.gov/buff/planyourvisit/buffalo-point-campground.htm
Bugbee Canyon,lamr,https://www.nps.gov/lamr/planyourvisit/camping.htm
Bullfrog RV & Campground,glca,https://www.lakepowell.com/rv-camping/bullfrog-rv-campground/
Burns Lake,bicy,
Burnwood Group Campsite,neri,
Bush Mountain Wilderness Campground,gumo,https://www.nps.gov/gumo/planyourvisit/bm_wcg.htm
Butte Lake Campground,lavo,https://www.nps.gov/lavo/planyourvisit/butte-lake-campground.htm
Cabin Camp 1 (By Reservation Only),prwi,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
Cabin Camp 2 (By Reservation Only),prwi,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
Cabin Camp 3 (By Reservation Only),prwi,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
Cabin Camp 4 (By Reservation Only),prwi,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
Cabin Camp 5 (By Reservation Only),prwi,https://www.nps.gov/prwi/planyourvisit/cabin-camping.htm
Cacapon Junction Hiker-Biker Campsite,choh,https://www.nps.gov/choh/planyourvisit/camping.htm
Cades Cove Campground,grsm,https://www.nps.gov/grsm/planyourvisit/cades-cove-campground.htm
Cades Cove Group Campground,grsm,
Calico Rocks Hiker-Biker Campsite,choh,https://www.nps.gov/choh/planyourvisit/camping.htm
Callville Bay Campground (Lake Mead),lake,https://www.recreation.gov/camping/campgrounds/10068459
Callville Bay RV Park (Lake Mead),lake,https://callvillebay.com/lodging-rv-camp/
Camp 4 Campground,yose,https://www.nps.gov/yose/planyourvisit/camp4.htm
Camp Greentop,cato,https://www.nps.gov/cato/planyourvisit/camp-greentop.htm
Camp Misty Mount,cato,https://www.recreation.gov/camping/campgrounds/233241?q=Camp%20Misty%20Mount
Camp Round Meadow,cato,https://www.recreation.gov/camping/campgrounds/251264
Canaveral National Seashore Backcountry Island Camping,cana,https://www.nps.gov/cana/planyourvisit/camping.htm
Canyon Campground,yell,https://www.nps.gov/yell/planyourvisit/canyoncg.htm
Canyon City,klgo,https://www.nps.gov/klgo/planyourvisit/canyon-city.htm
Canyon View Campground,nava,
Canyon View Group Campground,seki,https://www.nps.gov/seki/planyourvisit/canyon_view.htm
Cape Point Campground,caha,https://www.recreation.gov/camping/campgrounds/251945
Caribou Island Campground,isro,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
Carver Campground,buff,https://www.nps.gov/buff/planyourvisit/camping.htm
