name,parkcode,park_addresstype,park_line1,park_city,park_statecode,park_postalcode,park_countrycode
Abraham Lincoln Birthplace,abli,Physical,2995 Lincoln Farm Road,Hodgenville,KY,42748,US
Acadia,acad,Physical,25 Visitor Center Road,Bar Harbor,ME,04609,US
Adams,adam,Physical,1250 Hancock St.,Quincy,MA,02169,US
African American Civil War Memorial,afam,Physical,1925 Vermont Avenue Northwest,Washington,DC,20001,US
African Burial Ground,afbg,Physical,African Burial Ground National Monument,New York,NY,10007,US
Agate Fossil Beds,agfo,Physical,301 River Road,Harrison,NE,69346,US
Ala Kahakai,alka,Physical,Superintendent,Kailua-Kona,HI,96740,US
Alagnak,alag,Physical,"1000 Silver St., Bldg. 603",King Salmon,AK,99613,US
Alaska Public Lands,anch,Physical,605 West 4th Avenue,Anchorage,AK,99501,US
Alcatraz Island,alca,Physical,Alcatraz Island,San Francisco Bay,CA,94133,US
Aleutian Islands World War II,aleu,Physical,Aleutian Islands WWII Visitor Center,Unalaska,AK,99692,US
Alibates Flint Quarries,alfl,Physical,37084 Alibates Rd.,Potter County,TX,79036,US
Allegheny Portage Railroad,alpo,Physical,110 Federal Park Road,Gallitzin,PA,16641,US
Amache,amch,Physical,County Rd 23 5/10,Granada,CO,81041,US
American Memorial,amme,Physical,Beach Road,Saipan,MP,96950,US
Amistad,amis,Physical,10477 Highway 90 West,Del Rio,TX,78840,US
Anacostia,anac,Physical,1900 Anacostia Drive SE,Washington,DC,20020,US
Andersonville,ande,Physical,National Prisoner of War Museum,Andersonville,GA,31711,US
Andrew Johnson,anjo,Physical,Andrew Johnson NHS,Greeneville,TN,37743,US
Aniakchak,ania,Physical,"1000 Silver St., Bldg. 603",KIng Salmon,AK,99613,US
Antietam,anti,Physical,5831 Dunker Church Rd.,Sharpsburg,MD,21782,US
Apostle Islands,apis,Physical,415 Washington Avenue,Bayfield,WI,54814,US
Appalachian,appa,Physical,Appalachian Trail Park Office,Harpers Ferry,WV,25425,US
Appomattox Court House,apco,Physical,Appomattox Court House National Historical Park,Appomattox,VA,24522,US
Arches,arch,Physical,"5 miles north of Moab, Utah, on US 191",Moab,UT,84532,US
Arkansas Post,arpo,Physical,1741 Old Post Road,Gillett,AR,72055,US
"Arlington House, The Robert E. Lee Memorial",arho,Physical,"Arlington House, The Robert E. Lee Memorial",Arlington,VA,22211,US
Assateague Island,asis,Physical,7206 National Seashore Lane,Berlin,MD,21811,US
Aztec Ruins,azru,Physical,725 Ruins Road,Aztec,NM,87410,US
Badlands,badl,Physical,25216 Ben Reifel Road,Interior,SD,57750,US
Baltimore-Washington,bawa,Physical,Baltimore Washington Parkway,Greenbelt,MD,20770,US
Bandelier,band,Physical,Bandelier National Monument,Los Alamos,NM,87544,US
Belmont-Paul Women's Equality,bepa,Physical,144 Constitution Ave NE,Washington,DC,20002,US
Bent's Old Fort,beol,Physical,35110 State Highway 194,La Junta,CO,81050,US
Bering Land Bridge,bela,Physical,214 Front St.,Nome,AK,99762,US
Big Bend,bibe,Physical,1 Panther Junction,Big Bend National Park,TX,79834,US
Big Cypress,bicy,Physical,33100 Tamiami Trail East,Ochopee,FL,34141,US
Big Hole,biho,Physical,16425 Highway 43 West,Wisdom,MT,59761,US
Big South Fork,biso,Physical,4564 Leatherwood Road,Oneida,TN,37841,US
Big Thicket,bith,Physical,6102 FM 420,Kountze,TX,77625,US
Bighorn Canyon,bica,Physical,Bighorn Canyon National Recreation Area South District Visitor Center,Lovell,WY,82431,US
Birmingham Civil Rights,bicr,Physical,A.G. Gaston Motel,Birmingham,AL,35203,US
